time_s,round,row,column,adc_u8,voltage_v
11.904877,6,7,9,139,1.798824
11.954816,6,7,11,140,1.811765
12.004866,6,9,1,142,1.837647
12.056790,6,9,3,69,0.892941
12.105713,6,9,5,135,1.747059
12.156796,6,9,7,80,1.035294
12.203721,6,9,9,142,1.837647
12.251773,6,9,11,138,1.785882
12.306796,6,11,1,141,1.824706
12.354810,6,11,3,125,1.617647
12.406784,6,11,5,14,0.181176
12.454847,6,11,7,105,1.358824
12.504804,6,11,9,142,1.837647
12.555820,6,11,11,136,1.760000
12.604839,7,1,1,138,1.785882
12.656866,7,1,3,119,1.540000
12.701890,7,1,5,134,1.734118
12.756901,7,1,7,0,0.000000
12.806873,7,1,9,138,1.785882
12.855933,7,1,11,138,1.785882
12.905051,7,3,1,142,1.837647
12.956900,7,3,3,139,1.798824
13.005917,7,3,5,136,1.760000
13.056787,7,3,7,140,1.811765
13.105719,7,3,9,142,1.837647
13.155870,7,3,11,139,1.798824
13.204732,7,5,1,139,1.798824
13.253827,7,5,3,142,1.837647
13.304860,7,5,5,139,1.798824
13.356843,7,5,7,140,1.811765
13.405864,7,5,9,138,1.785882
13.454901,7,5,11,137,1.772941
13.506885,7,7,1,137,1.772941
13.557007,7,7,3,141,1.824706
13.601786,7,7,5,138,1.785882
13.654965,7,7,7,140,1.811765
13.705037,7,7,9,138,1.785882
13.755912,7,7,11,138,1.785882
13.803867,7,9,1,141,1.824706
13.855879,7,9,3,69,0.892941
13.904832,7,9,5,135,1.747059
13.955922,7,9,7,81,1.048235
14.004989,7,9,9,142,1.837647
14.055753,7,9,11,137,1.772941
14.105970,7,11,1,142,1.837647
14.155925,7,11,3,125,1.617647
14.203987,7,11,5,14,0.181176
14.255818,7,11,7,105,1.358824
14.304794,7,11,9,142,1.837647
14.355040,7,11,11,136,1.760000
14.406882,8,1,1,138,1.785882
14.455845,8,1,3,119,1.540000
14.505834,8,1,5,134,1.734118
14.554802,8,1,7,0,0.000000
14.603800,8,1,9,140,1.811765
14.655765,8,1,11,136,1.760000
14.704760,8,3,1,142,1.837647
14.755758,8,3,3,140,1.811765
14.804798,8,3,5,136,1.760000
14.854823,8,3,7,140,1.811765
14.904776,8,3,9,142,1.837647
14.954944,8,3,11,136,1.760000
15.006808,8,5,1,141,1.824706
15.054854,8,5,3,140,1.811765
15.102790,8,5,5,137,1.772941
15.156758,8,5,7,140,1.811765
15.204694,8,5,9,138,1.785882
15.254714,8,5,11,137,1.772941
15.305707,8,7,1,142,1.837647
15.354693,8,7,3,142,1.837647
15.404689,8,7,5,139,1.798824
15.455758,8,7,7,140,1.811765
15.506794,8,7,9,139,1.798824
15.555833,8,7,11,140,1.811765
15.604830,8,9,1,142,1.837647
15.656960,8,9,3,69,0.892941
15.706889,8,9,5,135,1.747059
15.755754,8,9,7,80,1.035294
15.804855,8,9,9,141,1.824706
15.856760,8,9,11,135,1.747059
15.904925,8,11,1,141,1.824706
15.954994,8,11,3,124,1.604706
16.006878,8,11,5,14,0.181176
16.052752,8,11,7,105,1.358824
16.106757,8,11,9,143,1.850588
16.155708,8,11,11,137,1.772941
16.205760,9,1,1,140,1.811765
16.254814,9,1,3,119,1.540000
16.304746,9,1,5,134,1.734118
16.354703,9,1,7,0,0.000000
16.405689,9,1,9,138,1.785882
16.456815,9,1,11,139,1.798824
16.505824,9,3,1,142,1.837647
16.554789,9,3,3,137,1.772941
16.604809,9,3,5,135,1.747059
16.655860,9,3,7,140,1.811765
16.702831,9,3,9,141,1.824706
16.755984,9,3,11,138,1.785882
16.805930,9,5,1,140,1.811765
16.854836,9,5,3,141,1.824706
16.904837,9,5,5,138,1.785882
16.951812,9,5,7,140,1.811765
17.004778,9,5,9,138,1.785882
17.055863,9,5,11,138,1.785882
17.104856,9,7,1,142,1.837647
17.156822,9,7,3,140,1.811765
17.205841,9,7,5,137,1.772941
17.254961,9,7,7,140,1.811765
17.304861,9,7,9,139,1.798824
17.352872,9,7,11,140,1.811765
17.406821,9,9,1,142,1.837647
17.454892,9,9,3,69,0.892941
17.504880,9,9,5,135,1.747059
17.556846,9,9,7,80,1.035294
17.606830,9,9,9,141,1.824706
17.654861,9,9,11,137,1.772941
17.705928,9,11,1,142,1.837647
17.754855,9,11,3,124,1.604706
17.802802,9,11,5,14,0.181176
17.854898,9,11,7,105,1.358824
17.906840,9,11,9,142,1.837647
17.953766,9,11,11,140,1.811765
18.006780,10,1,1,139,1.798824
18.054864,10,1,3,119,1.540000
18.104863,10,1,5,134,1.734118
18.154828,10,1,7,0,0.000000
18.201814,10,1,9,138,1.785882
18.254830,10,1,11,137,1.772941
18.304916,10,3,1,139,1.798824
18.354840,10,3,3,140,1.811765
18.404900,10,3,5,135,1.747059
18.456856,10,3,7,140,1.811765
18.504924,10,3,9,140,1.811765
18.555827,10,3,11,136,1.760000
18.605832,10,5,1,142,1.837647
18.656828,10,5,3,138,1.785882
18.704858,10,5,5,139,1.798824
18.754831,10,5,7,140,1.811765
18.804882,10,5,9,138,1.785882
18.854817,10,5,11,138,1.785882
18.902810,10,7,1,137,1.772941
18.951804,10,7,3,142,1.837647
19.006769,10,7,5,138,1.785882
19.056020,10,7,7,140,1.811765
19.104898,10,7,9,138,1.785882
19.152835,10,7,11,139,1.798824
19.204789,10,9,1,138,1.785882
19.256931,10,9,3,69,0.892941
19.305837,10,9,5,135,1.747059
19.356779,10,9,7,80,1.035294
19.404739,10,9,9,142,1.837647
19.454742,10,9,11,141,1.824706
19.508595,10,11,1,142,1.837647
19.554728,10,11,3,125,1.617647
19.604755,10,11,5,14,0.181176
19.656781,10,11,7,105,1.358824
19.706790,10,11,9,143,1.850588
19.751895,10,11,11,138,1.785882
19.804766,11,1,1,140,1.811765
19.856898,11,1,3,119,1.540000
19.901834,11,1,5,134,1.734118
19.954863,11,1,7,0,0.000000
20.005098,11,1,9,142,1.837647
20.055021,11,1,11,137,1.772941
20.106922,11,3,1,139,1.798824
20.154903,11,3,3,141,1.824706
20.201864,11,3,5,135,1.747059
20.254045,11,3,7,140,1.811765
20.305002,11,3,9,142,1.837647
20.356881,11,3,11,139,1.798824
20.406890,11,5,1,141,1.824706
20.454614,11,5,3,140,1.811765
20.506263,11,5,5,138,1.785882
20.556909,11,5,7,140,1.811765
20.606051,11,5,9,138,1.785882
20.654921,11,5,11,138,1.785882
20.706029,11,7,1,142,1.837647
20.755013,11,7,3,142,1.837647
20.805946,11,7,5,138,1.785882
20.856011,11,7,7,140,1.811765
20.905031,11,7,9,139,1.798824
20.955895,11,7,11,140,1.811765
21.001971,11,9,1,142,1.837647
21.055837,11,9,3,69,0.892941
21.105085,11,9,5,135,1.747059
21.154408,11,9,7,80,1.035294
21.204990,11,9,9,141,1.824706
21.256865,11,9,11,135,1.747059
21.306086,11,11,1,140,1.811765
21.356880,11,11,3,125,1.617647
21.407027,11,11,5,14,0.181176
21.454938,11,11,7,104,1.345882
21.505896,11,11,9,142,1.837647
21.555903,11,11,11,140,1.811765
21.605879,12,1,1,141,1.824706
21.654986,12,1,3,119,1.540000
21.704983,12,1,5,133,1.721176
21.755016,12,1,7,0,0.000000
21.805000,12,1,9,139,1.798824
21.856962,12,1,11,138,1.785882
21.906926,12,3,1,141,1.824706
21.951824,12,3,3,138,1.785882
22.005993,12,3,5,135,1.747059
22.055943,12,3,7,140,1.811765
22.104929,12,3,9,142,1.837647
22.156869,12,3,11,136,1.760000
22.204876,12,5,1,142,1.837647
22.254817,12,5,3,140,1.811765
22.306837,12,5,5,138,1.785882
22.354813,12,5,7,140,1.811765
22.405034,12,5,9,138,1.785882
22.454966,12,5,11,140,1.811765
22.505008,12,7,1,138,1.785882
22.555978,12,7,3,140,1.811765
22.605832,12,7,5,138,1.785882
22.655909,12,7,7,140,1.811765
22.705937,12,7,9,138,1.785882
22.755924,12,7,11,137,1.772941
