action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
0.600000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.253589,0.266177,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
0.650000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.270372,0.266177,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
0.700000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.287155,0.266177,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
0.750000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.303938,0.266177,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
0.800000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.358740,0.266177,0.000000,0.000000,0.000000,1.000000,0.629953,0.000000,0.000000,0.000000
0.850000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.420764,0.266177,0.000000,0.000000,0.000000,1.000000,0.620097,0.000000,0.000000,0.000000
0.900000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.482787,0.266177,0.000000,0.000000,0.000000,1.000000,0.610241,0.000000,0.000000,0.000000
0.950000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.069290,0.510218,0.266177,0.000000,0.000000,0.000000,1.000000,0.597579,0.000000,0.000000,0.000000
1.000000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.064327,0.510218,0.266177,0.000000,0.000000,0.000000,1.000000,0.582690,0.000000,0.000000,0.000000
1.050000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.059364,0.510218,0.266177,0.000000,0.000000,0.000000,1.000000,0.567802,0.000000,0.000000,0.000000
1.100000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.055881,0.493277,0.267640,0.000000,0.000000,0.000000,1.000000,0.560277,0.000000,0.000000,0.000000
1.150000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.055881,0.436449,0.272544,0.000000,0.000000,0.000000,1.000000,0.570086,0.000000,0.000000,0.000000
1.200000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.055881,0.379621,0.277449,0.000000,0.000000,0.000000,1.000000,0.579896,0.000000,0.000000,0.000000
1.250000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.055881,0.322794,0.282354,0.000000,0.000000,0.000000,1.000000,0.589705,0.000000,0.000000,0.000000
1.300000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.060724,0.308265,0.282354,0.000000,0.000000,0.000000,1.000000,0.604234,0.000000,0.000000,0.000000
1.350000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.065567,0.293736,0.282354,0.000000,0.000000,0.000000,1.000000,0.618762,0.000000,0.000000,0.000000
1.400000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.070410,0.279208,0.282354,0.000000,0.000000,0.000000,1.000000,0.633291,0.000000,0.000000,0.000000
1.450000,0.000000,0.522212,0.000000,0.000000,0.000000,0.000000,0.000000,0.074708,0.245114,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.500000,0.000000,0.530246,0.000000,0.000000,0.000000,0.000000,0.000000,0.078725,0.200929,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.550000,0.000000,0.538280,0.000000,0.000000,0.000000,0.000000,0.000000,0.082742,0.156743,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.600000,0.000000,0.546313,0.000000,0.000000,0.000000,0.000000,0.000000,0.086759,0.112558,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.650000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.091343,0.099430,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.700000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.096256,0.104344,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.750000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.101169,0.109257,0.282354,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
1.800000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.102745,0.112500,0.280688,0.000000,0.000000,0.000000,1.000000,0.639901,0.000000,0.000000,0.000000
1.850000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.097844,0.112500,0.275787,0.000000,0.000000,0.000000,1.000000,0.644802,0.000000,0.000000,0.000000
1.900000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.092943,0.112500,0.270886,0.000000,0.000000,0.000000,1.000000,0.649703,0.000000,0.000000,0.000000
1.950000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.088427,0.112500,0.266370,0.000000,0.000000,0.000000,1.000000,0.654411,0.000000,0.000000,0.000000
2.000000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.093330,0.112500,0.271273,0.000000,0.000000,0.000000,1.000000,0.654411,0.000000,0.000000,0.000000
2.050000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.098233,0.112500,0.276176,0.000000,0.000000,0.000000,1.000000,0.654411,0.000000,0.000000,0.000000
2.100000,0.000000,0.549265,0.000000,0.000000,0.000000,0.000000,0.000000,0.103136,0.112500,0.281079,0.000000,0.000000,0.000000,1.000000,0.654411,0.000000,0.000000,0.000000
