action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
0.500000,0.000000,0.577648,0.000000,0.100442,0.000000,0.000000,0.000000,0.120588,0.027649,0.076029,0.000000,0.000000,0.000000,1.000000,0.601913,0.000000,0.000000,0.000000
0.550000,0.000000,0.581001,0.000000,0.103794,0.000000,0.000000,0.000000,0.120588,0.031002,0.072676,0.000000,0.000000,0.000000,1.000000,0.605266,0.000000,0.000000,0.000000
0.600000,0.000000,0.581617,0.000000,0.108466,0.000000,0.000000,0.000000,0.116533,0.064055,0.092331,0.000000,0.000000,0.000000,1.000000,0.549119,0.000000,0.000000,0.000000
0.650000,0.000000,0.581617,0.000000,0.113434,0.000000,0.000000,0.000000,0.111565,0.103803,0.117174,0.000000,0.000000,0.000000,1.000000,0.479560,0.000000,0.000000,0.000000
0.700000,0.000000,0.581617,0.000000,0.118403,0.000000,0.000000,0.000000,0.106596,0.143550,0.142016,0.000000,0.000000,0.000000,1.000000,0.410001,0.000000,0.000000,0.000000
0.750000,0.000000,0.576023,0.000000,0.120588,0.000000,0.000000,0.000000,0.101614,0.306112,0.200497,0.000000,0.000000,0.000000,1.000000,0.337451,0.000000,0.000000,0.000000
0.800000,0.000000,0.566037,0.000000,0.120588,0.000000,0.000000,0.000000,0.096621,0.565076,0.285380,0.000000,0.000000,0.000000,1.000000,0.262553,0.000000,0.000000,0.000000
0.850000,0.000000,0.556050,0.000000,0.120588,0.000000,0.000000,0.000000,0.091628,0.824039,0.370264,0.000000,0.000000,0.000000,1.000000,0.187655,0.000000,0.000000,0.000000
0.900000,0.000000,0.547685,0.000000,0.122167,0.000000,0.000000,0.000000,0.086655,1.000000,0.429521,0.000000,0.000000,0.000000,1.000000,0.143082,0.000000,0.000000,0.000000
0.950000,0.000000,0.542757,0.000000,0.127095,0.000000,0.000000,0.000000,0.081727,1.000000,0.434449,0.000000,0.000000,0.000000,1.000000,0.162794,0.000000,0.000000,0.000000
1.000000,0.000000,0.537829,0.000000,0.132023,0.000000,0.000000,0.000000,0.076799,1.000000,0.439378,0.000000,0.000000,0.000000,1.000000,0.182506,0.000000,0.000000,0.000000
1.050000,0.000000,0.533240,0.000000,0.136916,0.000000,0.000000,0.000000,0.071905,1.000000,0.444423,0.000000,0.000000,0.000000,1.000000,0.201774,0.000000,0.000000,0.000000
1.100000,0.000000,0.537246,0.000000,0.140922,0.000000,0.000000,0.000000,0.067899,1.000000,0.452435,0.000000,0.000000,0.000000,1.000000,0.209786,0.000000,0.000000,0.000000
1.150000,0.000000,0.541252,0.000000,0.144928,0.000000,0.000000,0.000000,0.063893,1.000000,0.460447,0.000000,0.000000,0.000000,1.000000,0.217798,0.000000,0.000000,0.000000
1.200000,0.000000,0.545259,0.000000,0.148934,0.000000,0.000000,0.000000,0.059887,1.000000,0.468459,0.000000,0.000000,0.000000,1.000000,0.225810,0.000000,0.000000,0.000000
1.250000,0.000000,0.549265,0.000000,0.152940,0.000000,0.000000,0.000000,0.055881,1.000000,0.476471,0.000000,0.000000,0.000000,1.000000,0.233822,0.000000,0.000000,0.000000
1.300000,0.000000,0.554196,0.000000,0.152940,0.000000,0.000000,0.000000,0.055881,0.863490,0.461677,0.000000,0.000000,0.000000,1.000000,0.253548,0.000000,0.000000,0.000000
1.350000,0.000000,0.559127,0.000000,0.152940,0.000000,0.000000,0.000000,0.055881,0.726981,0.446882,0.000000,0.000000,0.000000,1.000000,0.273274,0.000000,0.000000,0.000000
1.400000,0.000000,0.564058,0.000000,0.152940,0.000000,0.000000,0.000000,0.055881,0.590471,0.432088,0.000000,0.000000,0.000000,1.000000,0.293000,0.000000,0.000000,0.000000
1.450000,0.000000,0.565440,0.000000,0.145796,0.000000,0.000000,0.000000,0.052309,0.492283,0.388646,0.000000,0.000000,0.000000,1.000000,0.344968,0.000000,0.000000,0.000000
1.500000,0.000000,0.565440,0.000000,0.135869,0.000000,0.000000,0.000000,0.047346,0.409016,0.334050,0.000000,0.000000,0.000000,1.000000,0.409490,0.000000,0.000000,0.000000
1.550000,0.000000,0.565440,0.000000,0.125943,0.000000,0.000000,0.000000,0.042383,0.325749,0.279455,0.000000,0.000000,0.000000,1.000000,0.474013,0.000000,0.000000,0.000000
1.600000,0.000000,0.565440,0.000000,0.103712,0.000000,0.000000,0.000000,0.041969,0.241526,0.220570,0.000000,0.000000,0.000000,1.000000,0.511086,0.000000,0.000000,0.000000
1.650000,0.000000,0.565440,0.000000,0.067065,0.000000,0.000000,0.000000,0.046885,0.156182,0.156662,0.000000,0.000000,0.000000,1.000000,0.516003,0.000000,0.000000,0.000000
1.700000,0.000000,0.565440,0.000000,0.030418,0.000000,0.000000,0.000000,0.051801,0.070839,0.092753,0.000000,0.000000,0.000000,1.000000,0.520919,0.000000,0.000000,0.000000
1.750000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.057025,0.000000,0.039706,0.000000,0.000000,0.000000,1.000000,0.525572,0.000000,0.000000,0.000000
1.800000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.063752,0.000000,0.039706,0.000000,0.000000,0.000000,1.000000,0.528935,0.000000,0.000000,0.000000
1.850000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.070480,0.000000,0.039706,0.000000,0.000000,0.000000,1.000000,0.532299,0.000000,0.000000,0.000000
1.900000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.077208,0.000000,0.039706,0.000000,0.000000,0.000000,1.000000,0.535663,0.000000,0.000000,0.000000
1.950000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.083936,0.000000,0.039706,0.000000,0.000000,0.000000,1.000000,0.539027,0.000000,0.000000,0.000000
2.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.000000,0.041497,0.000000,0.000000,0.000000,1.000000,0.542967,0.000000,0.000000,0.000000
2.050000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.000000,0.046457,0.000000,0.000000,0.000000,1.000000,0.547927,0.000000,0.000000,0.000000
2.100000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.000000,0.051418,0.000000,0.000000,0.000000,1.000000,0.552888,0.000000,0.000000,0.000000
2.150000,0.000000,0.565945,0.000000,0.002753,0.000000,0.000000,0.000000,0.087730,0.000482,0.055883,0.000000,0.000000,0.000000,1.000000,0.556848,0.000000,0.000000,0.000000
2.200000,0.000000,0.570990,0.000000,0.030269,0.000000,0.000000,0.000000,0.082685,0.005297,0.055883,0.000000,0.000000,0.000000,1.000000,0.551803,0.000000,0.000000,0.000000
2.250000,0.000000,0.576035,0.000000,0.057785,0.000000,0.000000,0.000000,0.077640,0.010112,0.055883,0.000000,0.000000,0.000000,1.000000,0.546759,0.000000,0.000000,0.000000
2.300000,0.000000,0.581080,0.000000,0.085301,0.000000,0.000000,0.000000,0.072595,0.014928,0.055883,0.000000,0.000000,0.000000,1.000000,0.541714,0.000000,0.000000,0.000000
2.350000,0.000000,0.581617,0.000000,0.092622,0.000000,0.000000,0.000000,0.067670,0.032990,0.060270,0.000000,0.000000,0.000000,1.000000,0.532402,0.000000,0.000000,0.000000
2.400000,0.000000,0.581617,0.000000,0.097533,0.000000,0.000000,0.000000,0.062760,0.052632,0.065180,0.000000,0.000000,0.000000,1.000000,0.522580,0.000000,0.000000,0.000000
2.450000,0.000000,0.581617,0.000000,0.102443,0.000000,0.000000,0.000000,0.057849,0.072275,0.070091,0.000000,0.000000,0.000000,1.000000,0.512759,0.000000,0.000000,0.000000
2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
