timestamp,elapsed_s,round,scan_index,sensor_row,point_in_row,source_label,raw_voltage_v,signal_0_to_1,missing_filled_zero
2026-09-08T16:59:14.189,7.004947,43,73,10,1,R10C11,0,0,1
2026-09-08T16:59:14.189,7.004947,43,74,10,2,R10C12,0,0,1
2026-09-08T16:59:14.189,7.004947,43,75,10,3,R10C1,0,0,1
2026-09-08T16:59:14.189,7.004947,43,76,10,4,R10C2,0,0,1
2026-09-08T16:59:14.189,7.004947,43,77,10,5,R10C3,0,0,1
2026-09-08T16:59:14.189,7.004947,43,78,10,6,R10C4,0,0,1
2026-09-08T16:59:14.189,7.004947,43,79,10,7,R10C5,0,0,1
2026-09-08T16:59:14.189,7.004947,43,80,10,8,R10C6,0,0,1
2026-09-08T16:59:14.189,7.004947,43,81,11,1,R11C12,0,0,1
2026-09-08T16:59:14.189,7.004947,43,82,11,2,R11C1,0,0,1
2026-09-08T16:59:14.189,7.004947,43,83,11,3,R11C2,0,0,1
2026-09-08T16:59:14.189,7.004947,43,84,11,4,R11C3,0,0,1
2026-09-08T16:59:14.189,7.004947,43,85,11,5,R11C4,0,0,1
2026-09-08T16:59:14.189,7.004947,43,86,11,6,R11C5,0,0,1
2026-09-08T16:59:14.189,7.004947,43,87,11,7,R11C6,0,0,1
2026-09-08T16:59:14.189,7.004947,43,88,11,8,R11C7,0,0,1
2026-09-08T16:59:14.189,7.004947,43,89,12,1,R12C1,0,0,1
2026-09-08T16:59:14.189,7.004947,43,90,12,2,R12C2,0,0,1
2026-09-08T16:59:14.189,7.004947,43,91,12,3,R12C3,0,0,1
2026-09-08T16:59:14.189,7.004947,43,92,12,4,R12C4,0,0,1
2026-09-08T16:59:14.189,7.004947,43,93,12,5,R12C5,0,0,1
2026-09-08T16:59:14.189,7.004947,43,94,12,6,R12C6,0,0,1
2026-09-08T16:59:14.189,7.004947,43,95,12,7,R12C7,0,0,1
2026-09-08T16:59:14.189,7.004947,43,96,12,8,R12C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,1,1,1,R1C2,1.112941,0.621849,0
2026-09-08T16:59:14.707,7.506142,44,2,1,2,R1C3,0.038824,1.0,0
2026-09-08T16:59:14.707,7.506142,44,3,1,3,R1C4,1.552941,0.0,0
2026-09-08T16:59:14.707,7.506142,44,4,1,4,R1C5,0.698824,1.0,0
2026-09-08T16:59:14.707,7.506142,44,5,1,5,R1C6,0.867059,1.0,0
2026-09-08T16:59:14.707,7.506142,44,6,1,6,R1C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,7,1,7,R1C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,8,1,8,R1C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,9,2,1,R2C3,0.038824,1.0,0
2026-09-08T16:59:14.707,7.506142,44,10,2,2,R2C4,1.617647,0.0,0
2026-09-08T16:59:14.707,7.506142,44,11,2,3,R2C5,1.708235,0.0,0
2026-09-08T16:59:14.707,7.506142,44,12,2,4,R2C6,1.772941,0.0,0
2026-09-08T16:59:14.707,7.506142,44,13,2,5,R2C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,14,2,6,R2C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,15,2,7,R2C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,16,2,8,R2C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,17,3,1,R3C4,1.76,0.0,0
2026-09-08T16:59:14.707,7.506142,44,18,3,2,R3C5,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,19,3,3,R3C6,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,20,3,4,R3C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,21,3,5,R3C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,22,3,6,R3C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,23,3,7,R3C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,24,3,8,R3C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,25,4,1,R4C5,1.669412,0.0,0
2026-09-08T16:59:14.707,7.506142,44,26,4,2,R4C6,1.772941,0.0,0
2026-09-08T16:59:14.707,7.506142,44,27,4,3,R4C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,28,4,4,R4C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,29,4,5,R4C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,30,4,6,R4C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,31,4,7,R4C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,32,4,8,R4C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,33,5,1,R5C6,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,34,5,2,R5C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,35,5,3,R5C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,36,5,4,R5C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,37,5,5,R5C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,38,5,6,R5C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,39,5,7,R5C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,40,5,8,R5C1,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,41,6,1,R6C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,42,6,2,R6C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,43,6,3,R6C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,44,6,4,R6C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,45,6,5,R6C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,46,6,6,R6C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,47,6,7,R6C1,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,48,6,8,R6C2,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,49,7,1,R7C8,0,0,1
2026-09-08T16:59:14.707,7.506142,44,50,7,2,R7C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,51,7,3,R7C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,52,7,4,R7C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,53,7,5,R7C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,54,7,6,R7C1,1.695294,0.0,0
2026-09-08T16:59:14.707,7.506142,44,55,7,7,R7C2,1.164706,0.0,0
2026-09-08T16:59:14.707,7.506142,44,56,7,8,R7C3,1.785882,0.0,0
2026-09-08T16:59:14.707,7.506142,44,57,8,1,R8C9,0,0,1
2026-09-08T16:59:14.707,7.506142,44,58,8,2,R8C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,59,8,3,R8C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,60,8,4,R8C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,61,8,5,R8C1,1.436471,0.11366,0
2026-09-08T16:59:14.707,7.506142,44,62,8,6,R8C2,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,63,8,7,R8C3,1.798823,0.0,0
2026-09-08T16:59:14.707,7.506142,44,64,8,8,R8C4,1.811765,0.0,0
2026-09-08T16:59:14.707,7.506142,44,65,9,1,R9C10,0,0,1
2026-09-08T16:59:14.707,7.506142,44,66,9,2,R9C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,67,9,3,R9C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,68,9,4,R9C1,0,0,1
2026-09-08T16:59:14.707,7.506142,44,69,9,5,R9C2,0,0,1
2026-09-08T16:59:14.707,7.506142,44,70,9,6,R9C3,0,0,1
2026-09-08T16:59:14.707,7.506142,44,71,9,7,R9C4,0,0,1
2026-09-08T16:59:14.707,7.506142,44,72,9,8,R9C5,0,0,1
2026-09-08T16:59:14.707,7.506142,44,73,10,1,R10C11,0,0,1
2026-09-08T16:59:14.707,7.506142,44,74,10,2,R10C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,75,10,3,R10C1,0,0,1
2026-09-08T16:59:14.707,7.506142,44,76,10,4,R10C2,0,0,1
2026-09-08T16:59:14.707,7.506142,44,77,10,5,R10C3,0,0,1
2026-09-08T16:59:14.707,7.506142,44,78,10,6,R10C4,0,0,1
2026-09-08T16:59:14.707,7.506142,44,79,10,7,R10C5,0,0,1
2026-09-08T16:59:14.707,7.506142,44,80,10,8,R10C6,0,0,1
2026-09-08T16:59:14.707,7.506142,44,81,11,1,R11C12,0,0,1
2026-09-08T16:59:14.707,7.506142,44,82,11,2,R11C1,0,0,1
2026-09-08T16:59:14.707,7.506142,44,83,11,3,R11C2,0,0,1
2026-09-08T16:59:14.707,7.506142,44,84,11,4,R11C3,0,0,1
2026-09-08T16:59:14.707,7.506142,44,85,11,5,R11C4,0,0,1
2026-09-08T16:59:14.707,7.506142,44,86,11,6,R11C5,0,0,1
2026-09-08T16:59:14.707,7.506142,44,87,11,7,R11C6,0,0,1
2026-09-08T16:59:14.707,7.506142,44,88,11,8,R11C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,89,12,1,R12C1,0,0,1
2026-09-08T16:59:14.707,7.506142,44,90,12,2,R12C2,0,0,1
2026-09-08T16:59:14.707,7.506142,44,91,12,3,R12C3,0,0,1
2026-09-08T16:59:14.707,7.506142,44,92,12,4,R12C4,0,0,1
2026-09-08T16:59:14.707,7.506142,44,93,12,5,R12C5,0,0,1
2026-09-08T16:59:14.707,7.506142,44,94,12,6,R12C6,0,0,1
2026-09-08T16:59:14.707,7.506142,44,95,12,7,R12C7,0,0,1
2026-09-08T16:59:14.707,7.506142,44,96,12,8,R12C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,1,1,1,R1C2,1.747059,0.0,0
2026-09-08T16:59:15.290,8.005962,45,2,1,2,R1C3,1.721177,0.0,0
2026-09-08T16:59:15.290,8.005962,45,3,1,3,R1C4,1.798823,0.0,0
2026-09-08T16:59:15.290,8.005962,45,4,1,4,R1C5,1.591765,0.0,0
2026-09-08T16:59:15.290,8.005962,45,5,1,5,R1C6,1.785882,0.0,0
2026-09-08T16:59:15.290,8.005962,45,6,1,6,R1C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,7,1,7,R1C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,8,1,8,R1C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,9,2,1,R2C3,1.785882,0.0,0
2026-09-08T16:59:15.290,8.005962,45,10,2,2,R2C4,1.798823,0.0,0
2026-09-08T16:59:15.290,8.005962,45,11,2,3,R2C5,1.785882,0.0,0
2026-09-08T16:59:15.290,8.005962,45,12,2,4,R2C6,1.772941,0.0,0
2026-09-08T16:59:15.290,8.005962,45,13,2,5,R2C7,0,0,1
2026-09-08T16:59:15.290,8.005962,45,14,2,6,R2C8,0,0,1
2026-09-08T16:59:15.290,8.005962,45,15,2,7,R2C9,0,0,1
2026-09-08T16:59:15.290,8.005962,45,16,2,8,R2C10,0,0,1
2026-09-08T16:59:15.290,8.005962,45,17,3,1,R3C4,1.798823,0.0,0
2026-09-08T16:59:15.290,8.005962,45,18,3,2,R3C5,1.798823,0.0,0
