action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018,N019,N020,N021,N022,N023,N024,N025,N026,N027,N028,N029,N030,N031,N032,N033,N034,N035,N036
1.300000,0.549265,0.000000,0.088235,0.000000,0.000000,0.000000,0.554196,0.000000,0.152940,0.000000,0.000000,0.000000,0.092242,1.000000,0.310550,0.000000,0.000000,0.000000,0.055881,0.863490,0.461677,0.000000,0.000000,0.000000,0.392028,0.000000,0.000000,0.000000,0.000000,1.000000,0.253548,0.000000,0.000000,0.000000,0.000000,1.000000
1.350000,0.549265,0.000000,0.088235,0.000000,0.000000,0.000000,0.559127,0.000000,0.152940,0.000000,0.000000,0.000000,0.096249,1.000000,0.322571,0.000000,0.000000,0.000000,0.055881,0.726981,0.446882,0.000000,0.000000,0.000000,0.339939,0.000000,0.000000,0.000000,0.000000,1.000000,0.273274,0.000000,0.000000,0.000000,0.000000,1.000000
1.400000,0.549265,0.000000,0.088235,0.000000,0.000000,0.000000,0.564058,0.000000,0.152940,0.000000,0.000000,0.000000,0.100255,1.000000,0.334591,0.000000,0.000000,0.000000,0.055881,0.590471,0.432088,0.000000,0.000000,0.000000,0.287850,0.000000,0.000000,0.000000,0.000000,1.000000,0.293000,0.000000,0.000000,0.000000,0.000000,1.000000
1.450000,0.549265,0.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.145796,0.000000,0.000000,0.000000,0.104262,1.000000,0.346611,0.000000,0.000000,0.000000,0.052309,0.492283,0.388646,0.000000,0.000000,0.000000,0.235761,0.000000,0.000000,0.000000,0.000000,1.000000,0.344968,0.000000,0.000000,0.000000,0.000000,1.000000
1.500000,0.544462,0.000000,0.093038,0.000000,0.000000,0.000000,0.565440,0.000000,0.135869,0.000000,0.000000,0.000000,0.090002,1.000000,0.380681,0.000000,0.000000,0.000000,0.047346,0.409016,0.334050,0.000000,0.000000,0.000000,0.291461,0.000000,0.000000,0.000000,0.000000,1.000000,0.409490,0.000000,0.000000,0.000000,0.000000,1.000000
1.550000,0.539472,0.000000,0.098027,0.000000,0.000000,0.000000,0.565440,0.000000,0.125943,0.000000,0.000000,0.000000,0.075035,1.000000,0.415603,0.000000,0.000000,0.000000,0.042383,0.325749,0.279455,0.000000,0.000000,0.000000,0.351327,0.000000,0.000000,0.000000,0.000000,1.000000,0.474013,0.000000,0.000000,0.000000,0.000000,1.000000
1.600000,0.534483,0.000000,0.103016,0.000000,0.000000,0.000000,0.565440,0.000000,0.103712,0.000000,0.000000,0.000000,0.060068,1.000000,0.450525,0.000000,0.000000,0.000000,0.041969,0.241526,0.220570,0.000000,0.000000,0.000000,0.411193,0.000000,0.000000,0.000000,0.000000,1.000000,0.511086,0.000000,0.000000,0.000000,0.000000,1.000000
1.650000,0.540196,0.000000,0.086639,0.000000,0.000000,0.000000,0.565440,0.000000,0.067065,0.000000,0.000000,0.000000,0.070099,0.780277,0.371436,0.000000,0.000000,0.000000,0.046885,0.156182,0.156662,0.000000,0.000000,0.000000,0.452822,0.000000,0.000000,0.000000,0.000000,1.000000,0.516003,0.000000,0.000000,0.000000,0.000000,1.000000
1.700000,0.550066,0.000000,0.061965,0.000000,0.000000,0.000000,0.565440,0.000000,0.030418,0.000000,0.000000,0.000000,0.089839,0.475207,0.248062,0.000000,0.000000,0.000000,0.051801,0.070839,0.092753,0.000000,0.000000,0.000000,0.487366,0.000000,0.000000,0.000000,0.000000,1.000000,0.520919,0.000000,0.000000,0.000000,0.000000,1.000000
1.750000,0.559936,0.000000,0.037290,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.109579,0.170137,0.124688,0.000000,0.000000,0.000000,0.057025,0.000000,0.039706,0.000000,0.000000,0.000000,0.521911,0.000000,0.000000,0.000000,0.000000,1.000000,0.525572,0.000000,0.000000,0.000000,0.000000,1.000000
1.800000,0.565440,0.000000,0.032307,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.002095,0.058077,0.000000,0.000000,0.000000,0.063752,0.000000,0.039706,0.000000,0.000000,0.000000,0.545565,0.000000,0.000000,0.000000,0.000000,1.000000,0.528935,0.000000,0.000000,0.000000,0.000000,1.000000
1.850000,0.565440,0.000000,0.052153,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.006831,0.063039,0.000000,0.000000,0.000000,0.070480,0.000000,0.039706,0.000000,0.000000,0.000000,0.555488,0.000000,0.000000,0.000000,0.000000,1.000000,0.532299,0.000000,0.000000,0.000000,0.000000,1.000000
1.900000,0.565440,0.000000,0.072000,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.011567,0.068000,0.000000,0.000000,0.000000,0.077208,0.000000,0.039706,0.000000,0.000000,0.000000,0.565411,0.000000,0.000000,0.000000,0.000000,1.000000,0.535663,0.000000,0.000000,0.000000,0.000000,1.000000
1.950000,0.565440,0.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.015441,0.072946,0.000000,0.000000,0.000000,0.083936,0.000000,0.039706,0.000000,0.000000,0.000000,0.574416,0.000000,0.000000,0.000000,0.000000,1.000000,0.539027,0.000000,0.000000,0.000000,0.000000,1.000000
2.000000,0.565440,0.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.015441,0.077820,0.000000,0.000000,0.000000,0.088235,0.000000,0.041497,0.000000,0.000000,0.000000,0.579290,0.000000,0.000000,0.000000,0.000000,1.000000,0.542967,0.000000,0.000000,0.000000,0.000000,1.000000
2.050000,0.565440,0.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.015441,0.082694,0.000000,0.000000,0.000000,0.088235,0.000000,0.046457,0.000000,0.000000,0.000000,0.584163,0.000000,0.000000,0.000000,0.000000,1.000000,0.547927,0.000000,0.000000,0.000000,0.000000,1.000000
2.100000,0.565440,0.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.000000,0.000000,0.000000,0.000000,0.120588,0.015441,0.087569,0.000000,0.000000,0.000000,0.088235,0.000000,0.051418,0.000000,0.000000,0.000000,0.589037,0.000000,0.000000,0.000000,0.000000,1.000000,0.552888,0.000000,0.000000,0.000000,0.000000,1.000000
2.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565945,0.000000,0.002753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087730,0.000482,0.055883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556848,0.000000,0.000000,0.000000,0.000000,1.000000
2.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570990,0.000000,0.030269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082685,0.005297,0.055883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551803,0.000000,0.000000,0.000000,0.000000,1.000000
2.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.576035,0.000000,0.057785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077640,0.010112,0.055883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546759,0.000000,0.000000,0.000000,0.000000,1.000000
